## Translation glossary

English term | EN acronym | French translation | FR acronym
Business & Regulatory Law Portfolio | BRLP | Portefeuille du droit des affaires et du droit réglementaire | PDADR
Business Analytics Center | BAC | Centre d'analytiques des affaires | CAA
Business and Regulatory Law Portfolio | BRLP | Portefeuille du droit des affaires et du droit réglementaire | PDADR
Business Centre | BC | Centre d'affaires | CA
Business Centre, Management and CFO Sector | CFO | Centre d'affaires, Secteur de la gestion et DPF | DPF
Business Continuity Management | BCM | Gestion de la continuité des activités | GCA
Business Continuity Plan | BCP | Plan de continuité des activités | PCA
Business Integration and Strategies Branch | BISB | Direction générale, Intégration et stratégies des affaires | DGISA
Business Management & Governance | BMG | Gestion des affaires et de la gouvernance | GAG
Business Management Centre | BMC | Centre de la gestion des affaires | CGA
Business Management Office | BMO | Bureau de la gestion des affaires | BGA
Business Management Unit | BMU | Unité de la gestion des affaires | UGA
Business Practices and Intelligence Branch | BPIB | Direction générale des pratiques et des analyses d'affaires | DGPAA
Business Process Owner | BPO | Responsable de processus administratif | RPA
Business Regulatory Law Portfolio | BRLP | Portefeuille du droit des affaires et du droit réglementaire | PDADR
Business Transformation Committee | BTC | Comité de la transformation des activités | CTA
Business Value Assessment | BVA | Évaluation de la valeur commerciale | EVC
Cabinet and Parliamentary Affairs Unit | CPAU | Unité des affaires du Cabinet et parlementaires | UACP
Cabinet Briefing Note | — | Note de breffage du Cabinet | —
Canada Border Services Agency | CBSA | Agence des service frontalier du Canada | ASFC
Canada Legal Team | CLT | Équipe juridique du Canada | ÉJC
Canada Revenue Agency | CRA | Agence du revenu du Canada | ARC
Canada School of Public Service | CSPS | EFPC (École de la fonction publique du Canada) | —
Canada School of Public Service | — | École de la fonction publique du Canada | —
Canada Top Secret Network | CTSN | Réseau canadien Très secret | RCTS
Canada Ukraine Authorization for Emergency Travel | — | Autorisation de voyage d’urgence Canada-Ukraine | —
Canada's Black Justice Strategy | CBJS | Stratégie canadienne en matière de justice pour les personnes noires | SCJPN
Canadian Association of professional employees | CAPE | Association canadienne des employés professionnels | ACEP
Canadian Charter of Rights and Freedoms | — | Charte canadienne des droits et libertés | —
Canadian Environmental Protection Act | CEPA | Loi canadienne sur la protection de l'environnement | LCPE
Canadian Extremist Travellers | — | Voyageurs extrémistes Canadiens | —
Canadian Forces Legal Advisor, Danielle Roussi | — | Conseiller juridique des Forces canadiennes | —
Canadian Forces National Counter-Intelligence Unit | — | Unité nationale de contre-ingérence des Forces canadiennes | —
Canadian Human Rights Act | CHRA | Loi canadienne sur la protection de la personne | LCDP
Canadian Human Rights Commission | CHRC | Commission canadienne des droits de la personne | CCDP
Canadian Human Rights Tribunal | — | Tribunal canadien des droits de la personne | —
Canadian Indicator Framework | CIF | Cadre d'indicateurs canadien | CIC
Canadian Security Intelligence Service | CSIS | Service canadien du renseignement de sécurité | SCRS
CCMercury | CCM | CCMercury | CCM
Central Agencies Portfolio | CAP | Portefeuille des organismes centraux | POC
Centre for Information and Privacy Law | CIPL | Centre du droit à l'information et à la protection des renseignements personnels | CDIPRP
Centre for Labour and Employment Law | CLEL | Centre du droit du travail et de l'emploi | CDTE
Centre for Legal Education Services | CLES | Centre de services de formation juridique | CSFJ
Centre of Expertise for Learning and Professional Development | CoELPD | Centre d'expertise pour l'apprentissage et le développement professionnel | CEADP
Chair | — | Président ou Présidente | —
Change Management and Business Transformation | CMBT | Gestion du Changement et Transformation des affaires | GCTA
Change Management Office | CMO | Bureau de la gestion du changement | BGC
Chart of Account | COA | Plan comptable départemental | PCD
Chief Audit and Evaluation Executive | CAEE | Dirigeant principal de la vérification et de l'évaluation | DPVE
Chief Financial Officer | CFO | Directeur des services financiers | DSF
Chief Information Officer | CIO | Dirigeant principal de l'information | DPI
Chief Information Officer Office | CIOO | Bureau du dirigeant principal de l'information | BDPI
Chief of Staff | CoS | Chef de cabinet (CdeC) | —
Chief Security Officer | CSO | Dirigeant principal de la sécurité | DPS
Civil Litigation and Advisory Section | CLAS | Section du contentieux civil et du conseil | SCCC
Civil Litigation Directorate | — | Direction du litige civil | —
Civil Litigation Section | CLS | Section du contentieux des affaires civiles | SCAC
Clerk | — | commis | —
Clerk's Office | — | bureau du greffier | —
Client Department Office | CDO | Bureau du ministère client | BMC
Client Driven Services | CDS | Services axés sur le client | SAC
Client Feedback Survey | CFS | Sondage de satisfaction des clients | SSC
Closed Circuit Television | CCTV | Télévision en circuit fermé | TECF
Closed Material Procedure | — | procédure ex parte de dépôt à huis clos de renseignements de nature délicate | —
Co-chair | — | Co-président ou Co-présidente | —
Collections and Verifications Branch | — | Direction générale des recouvrements et de la vérification | —
Committee of Assistant Deputy Ministers on Official Languages | — | Comité des sous-ministres adjoints sur les langues officielles | —
Committee of the Whole | — | comité plénier | —
Committee on Agenda, Advice and Results | CAAR | Comité sur l'agenda, les avis et les résultats | CAAR
Communications Branch | CB | Direction générale des communications | DGC
Communications Branch (Comms) | — | Direction générale des communications | DGC
Community Justice Centres | CJC | Centres juridiques communautaires | CJC
Compensation Liaison Unit | CLU | Unité de liaison en rémunération | ULR
Compliance Programs Branch | — | Direction générale des programmes d'observation | —
Constitutional, Administrative and International Law Section | CAILS | Section du droit constitutionnel, administratif et international | SDCAI
Continuing Legal Education | CLE | Formation juridique permanente | FJP
Contract Review Committee | CRC | Comité d'examen des contrats | CEC
Contracting and Material Management Division | CMMD | Division de la gestion des marchés et du matériel | DGMM
Contracting, Material Management and Financial Systems Division | CMMFSD | Division de la gestion des marchés, du matériel et des systèmes financiers | DGMMSF
Coordinator | — | Coordinateur ou Coordinatrice | —
Corporate Accounting and Reporting | CAR | Comptabilité ministérielle et rapport | CMR
Corporate events | — | Évènements corporatifs | —
Corporate Learning Plan | CLP | Plan d'apprentissage ministériel | PAM
Corporate Planning, Reporting and Risk (CPRR) Division | CPRR | Planification, rapports et risques ministériels | PRRM
Corporate Reporting (CrRpt) | — | Rapport corporatif (RptCr) | —
Corporate Services Branch | CSB | Direction générale des services ministériels | DGSM
Correctional Services Canada | CSC | Service correctionnel Canada | SCC
Corrections and Conditional Release Act | — | Loi sur le système correctionnel et la mise en liberté sous condition | —
Cost Center Manager | CCM | Gestionnaire de centre de coût | GCC
Cost Centre | CC | Centre de coûts | CC
Cost Recovery Process Improvements | CRPI | Amélioration du processus de recouvrement des coûts | APRC
Court Martial Appeal Court | — | Cour d'appel de la cour martiale | —
Courts Administration Services | CAS | Services administratifs des tribunaux judiciaires | SATJ
CRA Material | CRA | Documents ARC | ARC
CRA Materials | CRA | Documents ARC | ARC
Criminal Case Review Commission | — | Commission sur d'examen des affaires pénales | —
Criminal Conviction Review Group | CCRG | Groupe de la révision des condamnations criminelles | GRCC
Criminal Law Operations Service | CLOS | (no French provided) | SODP
Criminal Law Policy Section | CLPS | Section de la politique en matière de droit pénal | SPDP
Critical Cyber Systems Protection Act | — | Loi sur la protection des cybersystèmes essentiels | —
Crown-Indigenous Relations and Northern Affairs Canada | CIRNAC | Relations Couronne-Autochtones et Affaires du Nord Canada | RCAANC
CSIS Threat Reduction Mandate | — | mandat du SCRS en ce qui a trait à la réduction des menaces | —
Data, Digital and Services Committee | DDSC | Comité des données, du numérique et des services | CDNS
Decision | — | Décision | —
Delegation of Spending and Financial Signing Authority | DSFSA | Délégation de signature des pouvoirs de dépenser et financiers | DSPDF
Demo | — | Demonstration | —
Department Legal Services Unit | DLSU | Services juridiques ministériels | SJM
Department of Finance Canada | FIN | Ministère des Finances Canada | MFC
Department of Fisheries and Oceans | DFO | Ministère des pêches et océans | MPO
Department of Indian Affairs and Northern Dev | DIAND | Ministère des affaires indiennes et du nord canadien | MAINC
Department of Justice | — | ministère de la Justice Canada | —
Department of National Defense | DND | Ministère de la défense nationale | MDN
Departmental Audit Committee | DAC | Comité ministériel d'audit | CMA
Departmental Departure Process | DDP | Processus ministériel de départ | PMD
Departmental Governance Working Group | DGWG | Groupe de travail sur la gouvernance ministérielle | GTGM
Departmental Performance Report | DPR | Rapport ministériel sur le rendement | RMR
Departmental Plan | DP | Les Plans ministériels | PM
Departmental Plan | DP | Plan ministériel | PM
Departmental Recovery Committee | DRC | Comité ministériel de rétablissement des activités | CMRA
Departmental Results Report | DRR | Rapport sur les résultats ministériels | RRM
Departmental Security Officer | DSO | Agent de sécurité du ministère | ASM
Departmental Security Plan | DSP | Plan de sécurité ministériel | PSM
Departmental Sustainable Development Strategy | DSDS | Stratégie Ministérielle de Développement Durable | SMDD
Departmental Travel Expense Account | DTEA | Compte ministériel de frais de voyage (CompteMFV) | —
Departmental Travel Expense Card Carte | DTEC | Carte ministérielle de frais de voyage | MFV
Deputy Assistant Deputy Minister | DADM | Sous-Ministre adjointe déléguée | SMAD
Deputy Chief Financial Officer | DCFO | Adjoint à la dirigeante principale des finances | ADPF
Deputy Minister | DM | Sous-Ministre | SM
Deputy Minister Clerk [meeting] | DMC | Secrétaire du ministre adjoint [réunion] | —
Deputy Minister Litigation Management | — | Sous-ministre de la gestion des litiges | —
Deputy Minister Litigation Management [Committee] | DMLM | Sous-ministre Gestion des litiges [Comité] | —
Deputy Minister Week Ahead | — | La semaine à venir du sous-ministre | —
Deputy Minister Week Ahead (Justice) - sometimes just DM Week Ahead | DMWA | Sous-ministre Semaine à venir (Justice) - parfois simplement DM Semaine à venir | —
Deputy Minister's Office | DMO | Bureau du sous-ministre | BSM
Deputy Ministers Committee on Indigenous Reconciliation | — | Comité des ministres adjoints sur la réconciliation autochtone | —
Deputy Regional Director | DRD | Directeur régional adjoint | DRA
Deputy Regional Director General | — | Sous-directeur général régional | —
Digital Communications and Creative Services Division | DCCSD | Division des communications numériques et des services créatifs | DCNSC
Digital Workspace | DW | Environnement de travail numérique | ETN
Digital Workspace Site Administrator's Community | — | Communauté des administrateurs de sites de l'ETN | —
Digital Workspace Site Administrators Forum | — | Forum des administrateurs de sites de l'environnement de travail numérique | —
Director General | DG | Directeur général | DG
Director General | DG | Directeur général / directrice générale | DG
Director of Business Management | DBM | Directeur de la gestion des affaires / Directrice de la gestion des affaires | —
Director, Business Management | DBM | Directeur, Gestion des affaires | DGA
Directors of Business Management Committee | DBMC | Comité des directeurs de gestion des affaires | CDGA
Disclosure | — | Divulgation | —
DLSU access to DW | — | Accès à l'ETN pour les SJM | —
DLSU Connectivity Improvement Project | — | Projet d'amélioration de la connectivité pour les SJM | —
DM of Foreign Affairs (position used to be called Under Secretary of State) | — | sous-secrétaire d'État | —
DM Sub Committee [of DMLM] = specific to class actions | — | Sous-comité DM [du DMLM] = spécifique aux recours collectifs | —
Doc. Subject | — | Sujet du document | —
Document set | — | ensemble de documents | —
Document sets | — | Ensembles de documents | —
Drones Legal Issues Working Group | — | Groupe de travail sur les questions juridiques relatives aux drones | —
Duty to Accommodate | DTA | Obligation de prendre des mesures d'adaptation | PMA
East Memorial Building | EMB | Édifice commémoratif de l'est | ECE
eDiscovery and Litigation Support | — | Preuve électronique et soutien aux litiges | —
Education Costs | — | Frais d'études | —
EE Advisory Committees | — | Comités consultatifs sur l'ÉE | —
Emergencies Act and Convoy-Related Actions | — | Loi sur les situations d'urgence et actions liées aux convois | —
Emergency Response Committee | ERC | Comité de gestion des mesures d’urgence | CGMU
Employee Assistance Program | EAP | Programme d'aide aux employés | PAE
Employment and Social Development Canada | ESDC | Emploi et Développement social Canada | EDSC
Employment and Social Development Canada, Legal Services | — | Services juridiques, Emploi et développement social Canada | —
Employment Equity | EE | L’équité en matière d’emploi | ÉE
Employment Equity Advisory Committees | — | Comités consultatifs d’équité en matière d’emploi | —
Employment Equity Steering Committee | — | Comité directeur de l’équité en matière d’emploi | —
Employment Equity, Diversity and Inclusion | EEDI | équité en matière d’emploi, de diversité et d’inclusion | ÉEDI
Employment Equity, Diversity and Inclusion Steering Committee | EEDISC | Comité directeur de l’équité en matière d’emploi, de la diversité et de l’inclusion | CDEEDI
Employment Equity, Diversity and Inclusion Steering Committee | — | Comité directeur de l'équité en matière d'emploi, de la diversité et de l'inclusion | —
Employment Insurance | EI | Assurance emploi | AE
Enterprise Grants and Contributions System | EGCS | Système d'entreprise pour les subventions et contributions | SESC
Entity-Level Control | ELC | Contrôle au niveau de l'entité | CNE
Entreprise Grants and Contributions System | EGCS | Système de gestion pour les subventions et les contributions | SGESC
Environment and Climate Change Canada | ECCC | Environnement et Changement climatique Canada | ECCC
Equipment Master Record | EMR | Fiche d'équipement | FE
Equity Seeking Groups | ESG | Groupes en quête d’équité | GQE
Equity, Diversity, and Inclusion | EDI | Équité, diversité et inclusion | EDI
Evaluation Division | ED | Division de l'évaluation | DE
Exclusion Approval Order | — | décret d'exclusion | —
Executive Assistant | EA | Adjoint exécutif | AE
Executive Committee | EC | Conseil exécutif | CE
Executive Services | ES | Services à la haute direction | SHD
Expense Management Tool | EMT | Outil de gestion des dépenses | OGD
Expression of interest | — | Avis d’intérêt | —
Eye Witness | EW | Témoin expert | TE
Family and Children's Law Team (family law) | — | Équipe du droit de la famille et des enfants (droit de la famille) | —
Family and Children's Law Team (support enforcement) | — | Équipe du droit de la famille et des enfants (exécution des pensions alimentaires) | —
Family Law and Youth Justice Policy Section | — | Section de la politique en matière de droit de la famille et de la justice pour les jeunes | —
Family Law Assistance Service | — | Services d'aide au droit familial | —
Federal Court of Appeal | — | Cour d'appel fédérale | —
Federal Court of Canada | FCC | Cour fédérale du Canada | CFC
Federal Internship Program for Canadians with Disabilities | — | Programme fédéral de stages pour les Canadiens en situation de handicap | —
Federal Provincial Territorial Indigenous | — | Fédéral, provincial, territorial, autochtone | —
Federal Public Sector Labour Relations and Employment Board | — | Commission des relations de travail et de l’emploi dans le secteur public fédéral | —
Federal Records Centre | FRC | Centre fédéral de documents | CFD
Federal Student Work Experience Program | FSWEP | Programme fédéral d’expérience de travail étudiant | PFETE
Federal Sustainable Development Act | FSDA | Loi fédérale sur le développement durable | LFDD
Federal Sustainable Development Strategy | FSDS | Stratégie fédérale de développement durable | SFDD
Federal Victim Strategy | FVS | Stratégie fédérale d’aide aux victimes | SFV
Finance and Administration Branch | — | Direction générale des finances et de l'administration | —
Finance and Planning Branch | FPB | Direction générale des finances et de la planification | DGFP
Finance Legal Services | — | Services juridiques de Finance | —
Finance Resources Management Division | FRMD | Division de la gestion des ressources financières | DGRF
Financial Administration Act | FAA | Loi sur la gestion des finances publiques | LGFP
Financial Consumer Agency of Canada | — | Agence de la consommation en matière financière du Canada | —
Financial Management Advisor | FMA | Conseiller en gestion financière | —
Financial Management Advisor | FMA | Conseiller(ière) en gestion financière | CGF
Financial Situation Report | FSR | Rapport de situation financière | RSF
Financial Transactions and Reports Analysis Centre of Canada | — | Centre d'analyse des opérations et déclarations financières du Canada | —
First Nations Leadership Council | — | Conseil des leaders des Premières Nations | —
First Nations Summit | — | Sommet des Premières Nations | —
Fiscal Year | FY | Année financière | AF
Floor Emergency Warden | FEW | Agent de secours d'étage | ASE
For Awareness | — | Pour votre information | —
For your action | FYA | Pour votre action | PVA
For your information | FYI | À titre d'information | ATI
Forward Agenda | — | Ordre du jour à venir | —
Forward Approval Planner (ADAGO product) | FAP | Planificateur d’approbation avancée (produit ADAGO) | —
Full-Time Equivalent | FTE | Équivalent temps plein | ETP
Functional Area | FA | Domaine fonctionnel | DF
Funds Commitment | FC | Engagement de fonds | EF
Gender-based Analysis Plus | GBA+ | Analyse comparative entre les sexes plus | ACS+
General Ledger (Accounting term) | GL | Grand Livre (Terme de la comptabilité) | GL
Global Affairs Canada | GAC | Affaires mondiales Canada | AMC
Global Indicator Framework | GIF | Cadre mondial d’indicateurs | CMI
Goods and Services Tax | GST | Taxe sur les produits et services | TPS
Goods Receipt | GR | Entrée de marchandise | EM
Governance Oversight and Strategic Advice | GOSA | Conseil et surveillance stratégiques de la gouvernance | CSSG
Governance Tracker | — | Outil de suivi de la gouvernance | —
Government Electronic Director Services | GEDS | Services d'annuaires gouvernmentaux électroniques | SAGE
Government of Canada | GC | Gouvernement du Canada | GC
Government of Canada | GoC | Gouvernement du Canada | GC
Government of Canada Secret Infrastructure | GCSI | Infrastructure secrète du gouvernement du Canada | ISGC
Government of Canada Workplace Charitable Campaign | GCWCC | Campagne de charité en milieu de travail du gouvernement du Canada | CCMTGC
Government-wide chart of accounts for Canada | GWAC | Plan comptable à l'échelle de l'administration fédérale | PCEAF
Grants and Contributions | G&C | Subventions et contributions | S&C
Grants and Contributions Information Management System | GCIMS | Système de gestion de l'information sur les subventions et les contributions | SGISC
Greenhouse Gas (GHG(s)) | — | Gaz à effet de serre | GES
Guest | — | Invité ou Invitée | —
Harassment and Violence Prevention | HPV | Prévention du harcèlement et de la violence | PHV
Harmonized Sales Tax | HST | Taxe de vente harmonisée | TVH
Head Office | HO | Bureau chef | BC
Headquarters | HQ | Quartier général | QG
Headquarters Regulation Section | — | La Section de la réglementation de l’administration centrale | —
Headquarters Regulations Section | — | Section de la réglementation (Administration centrale) | —
Health Canada Regulations Section | — | Section de la réglementation - Santé Canada | —
Human Resources | HR | Ressources humaines | RH
Human Resources Advisor | HRA | Conseiller en ressources humaines | CRH
Human Resources and Social Development Canada | HRSDC | Ressources humaines et développement social Canada | RHDSC
Human Resources Branch | HRB | Direction générale des ressources humaines | DGRH
Human Resources Management System | HRMS | Système de gestion des ressources humaines | SGRH
Human Rights Law Section | HRLS | Section des droits de la personne | SDP
IM - ATIP | — | GI - Accès à l'information et protection des renseignements personnels | —
IM - Forms Management | — | GI - Gestion des formulaires | —
IM - General | — | GI - Général | —
IM - Library Services | — | GI - Services de bibliothèque | —
IM - Mail and Messenger Services | — | GI - Services de courrier et de messagerie | —
IM - Records Management Services | — | GI - Services de gestion des dossiers | —
Immigration Law Directorate - QRO | — | Direction du droit de l’immigration - BRQ | —
Immigration Law Division | ILD | Division du droit de l'immigration | DDI
Immigration Law Division - Ontario Regional Office | — | BRO - Division du droit de l'immigration | DDI
Immigration, Refugees and Citizenship Canada | IRCC | Immigration Réfugiés et Citoyenneté Canada | IRCC
Impact of Race and Culture Assessments | IRCAs | Évaluation de l’impact des races et de la culture | ÉIRC
In Brief | — | En Bref | —
Independent Assessment Process | — | Processus d'évaluation indépendant | —
Indian Residential Schools Settlement Agreement | — | Convention de règlement relative aux pensionnats indiens | —
Indigenous Advisory Counsel | — | Conseil Consultatif Autochtone | —
Indigenous business development | IBD | Développement des entreprises autochtones | DEA
Indigenous Courtwork Program | ACP | Programme d'assistance parajudiciaire aux Autochtones | PAPA
Indigenous Justice Strategy | IJS | Stratégie en matière de justice autochtones | SJA
Indigenous Justice Sub-Hub | — | Sub-Hub de la Justice applicable aux autochtones | —
Indigenous Rights and Relations Portfolio | IRRP | Portefeuille des droits et relations autochtones | PDRA
Individual Designated Travel Card | IDTC | Carte individuelle de voyage | CIV
Individual Learning Plan | ILP | Plan d'apprentissage individuel | PAI
Individual Travel Request | ITR | Demande de voyage individuelle | DVI
Info Dispute Prevention and Resolution | DPR | Info Prévention et règlement des différents | PRD
Informal Conflict Management System | ICMS | Système de gestion informelle des conflits | SGIC
Information Management | IM | Gestion de l'information | GI
Information Management and Information Technology | — | Gestion de l'information et technologie de l'information | —
Information Management Working Group | IMWG | Groupe de travail sur la gestion de l'information | GTGI
Information Services | IS | Services d'information | SI
Information Solutions Branch | ISB | Direction générale des solutions d'information | DGSI
Information Technology | IT | Technologie de l'information | TI
Information Technology Branch | — | Direction générale de l'informatique | —
Information Technology General Control | ITGC | Contrôle général des technologies de l'information | CGTI
Innovate Law | IL | Droit de l'innovation | DDL
Innovations, Analysis and Integration Directorate | — | Direction des innovations, de l'analyse et de l'intégration | —
Integrated Audit and Evaluation Plan | IAEP | Plan d’audit et évaluation intégré | PAEI
Integrated Financial and Materiel System Division | IFMS | Division du système intégré des finances et du matériel | DSIFM
Integrated Financial Management System | IFMS | Système intégré des finances et du matériel | SIFM
Integrated Forward Agenda | IFA | L'ordre du jour à venir intégré | —
Integrated Management Sector Activities Tracker | IMSAT | Traqueur intégré des activités du secteur de la gestion | TIASG
Integrated Recorded Information Mgmt System | IRIMS | Système intégré de gestion des renseignements consignés | ISGRC
Integrated Security Committee | ISC | Comité de sécurité intégré | CSI
Intensive Rehabilitative Custody and Supervision Program | IRCS | Programme de placement et de surveillance dans le cadre d’un programme intensif de réadaptation | PSPIR
Intellectual Property | IP | Propriété intellectuelle | PI
Intelligence Review Committee | — | Comité d’examen du renseignement | —
Interdepartmental Meeting | — | réunion interministérielle | —
Interdepartmental Settlement | IS | Règlement interministériel | RI
Interdepartmental Settlement Organization Code | IS ORG | Règlement interministériel code d’organisation | RI ORG
Internal Audit and Evaluation Sector | IAES | Secteur d’audit interne et d’évaluation | SAIE
Internal Audit Services | IAS | Services de vérification interne | SVI
Internal Control over Financial Management | ICFM | Contrôle interne en matière de gestion financière | CIGF
Internal Control over Financial Reporting | ICFR | Contrôle interne en matière de rapports financiers | CIRF
Internal Order | IO | Ordre interne | OI
International Armed Conflict | — | conflit armé international | —
International Assistance Group | IAG | Service d'entraide internationale | SEI
International Day for Persons with Disabilities | IDPD | Journée internationale des personnes en situation de handicap | JIPH
International Travel Agreements | ITA | Accords internationaux de voyage | ATI
Investment Canada Act | — | Loi sur Investissement Canada | —
Investment Governance & Oversight | IGO | Gouvernance & surveillance des investissements | GSI
Invoice Receipt | IR | Réception de la facture | RF
ISB Administrative Services | — | Services administratifs de la DGSI | —
JMCN Announcements | — | Annonces du Réseau | —
JMCN Documents | — | Documents du Réseau | —
JMCN Steering Committee | — | Comité directeur du Réseau | —
Journal Voucher | JV | Pièce de journal | PJ
Judicial Affairs Advisor | — | Conseiller à la magistrature | —
Judicial Affairs Section | JAS | Section des affaires juridiques | SAJ
Jurisprudence and Research | — | Jurisprudence et recherches | —
JUS Strategic Planning | JUS | Planifications stratégiques du MJ | MJ
Justice Canada | JUS | Justice Canada | JUS
Justice Communications Advisory Group | — | Groupe consultatif sur les communications du ministère de la Justice du Canada | —
Justice Emergency Legal Advisory Team | — | Équipe de consultation juridique d’urgence en justice | —
Justice Emergency Operations Centre | JEOC | Centre des opérations d'urgence de Justice | COUJ
Justice for Victims of Corrupt Foreign Officials Act | — | Loi sur la justice pour les victimes de dirigeants étrangers corrompus | —
Justice Legal Services Heads Committee | JLSHC | Comité des chefs des services juridiques de Justice | CCSJJ
Justice Managers' Community Network | JMCN | Réseau communautaire des gestionnaires de Justice | RCGJ
Justice Managers' Community Network | — | Réseau de la collectivité des gestionnaires du ministère de la Justice | —
Justice Partnership and Innovation Program | JPIP | Programme juridique de partenariats et d’innovation | PJPI
Justice Service Desk Project | — | Projet du centre de services du MJC | —
Justice Sustainable Development Strategy | JSDS | Stratégie de développement durable du ministère de la Justice | SDDMJ
Justice Training Calendar | — | Calendrier de formation de Justice | —
Justipedia | — | Justipédia | —
JustMe | — | JusteMoi | —
JustMe accounts | — | Comptes JusteMoi | —
Key Performance Indicators | KPI | Indicateurs clés de performance | ICP
Labour Relations | — | Relations de travail | —
Law Commission of Canada | LCC | Commission du droit du Canada | CDC
Law Management Committee Secretariat | — | Secrétariat du comité sur la gestion des lois | —
Law of Armed Conflict | — | droit des conflits armés | —
Leadership in Energy and Environmental Design | LEED® | Leadership in Energy and Environmental Design | LEED®
Legal Affairs Committee | — | Comité des affaires juridiques | —
Legal Aid Directorate | — | Direction de l'aide juridique | —
